Plant,Scientific_Name,Marker_Compound,SMILES,Alkaloids,Flavonoids,Tannins,Saponins,Terpenoids,Steroids,Glycosides,Phenolics,Anthraquinones,VolatileOils,Traditional_Use,Marker_MW,Marker_LogP,Marker_HBD,Marker_HBA,Marker_TPSA,Marker_RotBonds
Turmeric,Curcuma longa,Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,0,1,1,0,1,0,0,1,0,1,"Anti-inflammatory, wound healing",368.3850000000001,3.3699000000000026,2,6,93.06000000000002,8
Tulsi,Ocimum tenuiflorum,Eugenol,COc1cc(CC=C)ccc1O,0,1,1,0,1,0,0,1,0,1,"Adaptogen, respiratory disorders",164.204,2.1293,1,2,29.46,3
Neem,Azadirachta indica,Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,1,1,1,1,1,0,1,0,0,"Antimicrobial, skin disorders",302.23800000000006,1.988,5,7,131.36,1
Aloe Vera,Aloe barbadensis,Emodin,Cc1cc2c(c(O)c1)C(=O)c1c(O)cc(O)cc1C2=O,0,0,1,1,0,1,1,1,1,0,"Wound healing, laxative",270.24,1.8872199999999995,3,5,94.83000000000001,0
Ashwagandha,Withania somnifera,Beta-sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,1,0,0,1,1,1,0,0,0,0,"Adaptogen, stress relief",414.71800000000025,8.02480000000001,1,1,20.23,6
Ginger,Zingiber officinale,6-Gingerol,CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,0,0,1,0,1,0,0,1,0,1,"Antiemetic, digestive aid",294.391,3.2338000000000022,2,4,66.76,10
Garlic,Allium sativum,Allicin,C=CCSS(=O)CC=C,0,1,0,1,0,0,0,1,0,1,"Antimicrobial, cardiovascular",162.27899999999997,1.7553,0,2,17.07,5
Ginkgo,Ginkgo biloba,Kaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,1,1,1,1,0,0,1,0,0,"Cognitive enhancer, circulation",286.23900000000003,2.2824000000000004,4,6,111.13000000000001,1
Green Tea,Camellia sinensis,Catechin,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@H](O)C2,1,1,1,0,0,0,0,1,0,0,"Antioxidant, metabolic health",290.271,1.5460999999999998,5,6,110.38000000000001,1
Licorice,Glycyrrhiza glabra,Liquiritigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12,0,1,0,1,1,0,0,1,0,0,"Expectorant, anti-ulcer",254.24099999999999,2.871200000000001,2,4,70.67,1
Fenugreek,Trigonella foenum-graecum,Trigonelline,C[n+]1ccc(cc1)C(=O)[O-],1,1,0,1,0,1,0,0,0,0,"Antidiabetic, lactation aid",137.13799999999998,-1.1254000000000002,0,2,44.01,1
Black Pepper,Piper nigrum,Piperine,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,1,0,0,0,0,0,0,0,0,1,Bioavailability enhancer,285.343,2.997200000000001,0,3,38.77,3
Cinnamon,Cinnamomum verum,Cinnamaldehyde,O=C/C=C/c1ccccc1,0,0,1,0,0,0,0,1,0,1,"Antidiabetic, antimicrobial",132.16199999999998,1.8987,0,1,17.07,2
Clove,Syzygium aromaticum,Eugenol,COc1cc(CC=C)ccc1O,0,1,1,0,1,0,0,1,0,1,"Analgesic, antiseptic",164.204,2.1293,1,2,29.46,3
Peppermint,Mentha piperita,Menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0,1,1,0,1,0,0,1,0,1,"Carminative, analgesic",156.269,2.439500000000001,1,1,20.23,1
Thyme,Thymus vulgaris,Thymol,CC(C)c1ccc(C)cc1O,0,1,1,0,1,0,0,1,0,1,"Antiseptic, expectorant",150.22099999999998,2.824020000000002,1,1,20.23,1
Chili Pepper,Capsicum annuum,Capsaicin,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,1,1,0,0,0,0,0,1,0,0,"Analgesic, rubefacient",305.418,3.789600000000003,2,3,58.56,9
Coffee,Coffea arabica,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,0,1,0,0,0,0,1,0,0,CNS stimulant,194.194,-1.0293,0,3,61.82,0
Tobacco,Nicotiana tabacum,Nicotine,CN1CCC[C@H]1c1cccnc1,1,0,1,0,0,0,0,0,0,0,Historical stimulant/insecticide,162.236,1.8483,0,2,16.130000000000003,1
Opium Poppy,Papaver somniferum,Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,1,0,0,0,0,0,0,0,0,0,"Analgesic, narcotic",285.343,1.1981,2,4,52.93000000000001,0
Cinchona,Cinchona officinalis,Quinine,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,1,0,1,0,0,0,1,0,0,0,Antimalarial,324.4240000000001,3.1732000000000014,1,4,45.59,4
Belladonna,Atropa belladonna,Atropine,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,1,0,0,0,0,0,0,0,0,0,"Anticholinergic, mydriatic",289.37500000000006,1.9308999999999996,1,4,49.769999999999996,4
Barberry,Berberis vulgaris,Berberine,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,1,1,1,0,0,0,0,1,0,0,"Antimicrobial, hepatoprotective",336.3670000000001,3.096300000000001,0,4,40.8,2
Cannabis,Cannabis sativa,Cannabidiol,CCCCCc1cc(O)c(C2C=C(C)CCC2C(C)=C)c(O)c1,0,1,1,0,1,0,0,1,0,1,"Analgesic, anticonvulsant",314.469,5.846500000000007,2,2,40.46,6
Willow Bark,Salix alba,Salicylic acid,O=C(O)c1ccccc1O,0,1,1,0,0,0,1,1,0,0,"Analgesic, antipyretic",138.12199999999999,1.0903999999999998,2,2,57.53,1
Echinacea,Echinacea purpurea,Chlorogenic acid,OC1CC(O)(C(=O)O)CC(OC(=O)/C=C/c2ccc(O)c(O)c2)C1O,1,1,1,1,1,0,0,1,0,0,Immunostimulant,354.31100000000004,-0.6459000000000008,6,8,164.75,4
Grape,Vitis vinifera,Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,0,1,1,0,0,0,0,1,0,0,"Antioxidant, cardioprotective",228.247,2.9738000000000016,3,3,60.69,2
Chamomile,Matricaria chamomilla,Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,1,1,1,1,0,0,1,0,1,"Sedative, anti-inflammatory",270.24,2.576800000000001,3,5,90.9,1
