Compound_Name,Chemical_Class,SMILES,Plant_Source,Molecular_Weight
Curcumin,Diarylheptanoid,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,Turmeric (Curcuma longa),368.39
Eugenol,Phenylpropanoid,COc1cc(CC=C)ccc1O,Clove (Syzygium aromaticum),164.2
Quercetin,Flavonoid,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Neem (Azadirachta indica),302.24
Emodin,Anthraquinone,Cc1cc2c(c(O)c1)C(=O)c1c(O)cc(O)cc1C2=O,Aloe vera (Aloe barbadensis),270.24
Beta-sitosterol,Phytosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,Ashwagandha (Withania somnifera),414.72
6-Gingerol,Phenylalkanoid,CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,Ginger (Zingiber officinale),294.39
Allicin,Organosulfur,C=CCSS(=O)CC=C,Garlic (Allium sativum),162.28
Kaempferol,Flavonoid,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Ginkgo (Ginkgo biloba),286.24
Catechin,Flavonoid,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@H](O)C2,Green Tea (Camellia sinensis),290.27
Liquiritigenin,Flavonoid,O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12,Licorice (Glycyrrhiza glabra),254.24
Trigonelline,Alkaloid,C[n+]1ccc(cc1)C(=O)[O-],Fenugreek (Trigonella foenum-graecum),137.14
Piperine,Alkaloid,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,Black Pepper (Piper nigrum),285.34
Cinnamaldehyde,Phenylpropanoid,O=C/C=C/c1ccccc1,Cinnamon (Cinnamomum verum),132.16
Menthol,Monoterpenoid,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,Peppermint (Mentha piperita),156.27
Thymol,Monoterpenoid,CC(C)c1ccc(C)cc1O,Thyme (Thymus vulgaris),150.22
