UniProt_ID,Protein_Name,Gene_Name,Category,Disease_Association,AlphaFold_Version,PDB_URL,Sequence_Length,pLDDT_Mean,Frac_VeryLow_pLDDT,Frac_Low_pLDDT,Frac_Confident_pLDDT,Frac_VeryHigh_pLDDT,frac_hydrophobic,frac_polar,frac_charged_pos,frac_charged_neg,frac_aromatic,frac_small,frac_proline,frac_glycine,frac_cysteine,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,molecular_weight,helix_propensity,sheet_propensity,turn_propensity,disorder_propensity
P00533,Epidermal growth factor receptor,EGFR,Kinase,Non-small cell lung cancer,6,https://alphafold.ebi.ac.uk/files/AF-P00533-F1-model_v6.pdb,1210,75.94,0.228,0.065,0.233,0.474,0.35702479338842974,0.21735537190082643,0.12975206611570247,0.1140495867768595,0.07024793388429752,0.2487603305785124,0.06198347107438017,0.07024793388429752,0.049586776859504134,0.05950413223140496,0.049586776859504134,0.050413223140495865,0.06363636363636363,0.02975206611570248,0.07024793388429752,0.0256198347107438,0.05702479338842975,0.05454545454545454,0.09173553719008265,0.02066115702479339,0.05454545454545454,0.06198347107438017,0.04049586776859504,0.049586776859504134,0.06942148760330578,0.05289256198347107,0.05785123966942149,0.010743801652892562,0.02975206611570248,155886,0.3305785123966942,0.22396694214876034,0.3066115702479339,0.4099173553719008
P24941,Cyclin-dependent kinase 2,CDK2,Kinase,Cancer cell cycle,6,https://alphafold.ebi.ac.uk/files/AF-P24941-F1-model_v6.pdb,298,88.44,0.027,0.087,0.195,0.691,0.4429530201342282,0.1610738255033557,0.15771812080536912,0.11073825503355705,0.10067114093959731,0.174496644295302,0.06375838926174497,0.053691275167785234,0.010067114093959731,0.06375838926174497,0.010067114093959731,0.053691275167785234,0.05704697986577181,0.053691275167785234,0.053691275167785234,0.03355704697986577,0.053691275167785234,0.07046979865771812,0.13087248322147652,0.016778523489932886,0.026845637583892617,0.06375838926174497,0.030201342281879196,0.053691275167785234,0.04697986577181208,0.05704697986577181,0.07718120805369127,0.013422818791946308,0.03355704697986577,39236,0.3691275167785235,0.22818791946308725,0.24496644295302014,0.37583892617449666
P15056,Serine/threonine-protein kinase B-raf,BRAF,Kinase,Melanoma,6,https://alphafold.ebi.ac.uk/files/AF-P15056-F1-model_v6.pdb,766,66.38,0.386,0.061,0.258,0.294,0.3642297650130548,0.24151436031331594,0.13185378590078328,0.10574412532637076,0.07571801566579635,0.2597911227154047,0.06657963446475196,0.0731070496083551,0.016971279373368148,0.06788511749347259,0.016971279373368148,0.050913838120104436,0.05483028720626632,0.04308093994778068,0.0731070496083551,0.02610966057441253,0.05613577023498695,0.05352480417754569,0.08877284595300261,0.02349869451697128,0.03524804177545692,0.06657963446475196,0.05352480417754569,0.05221932114882506,0.10182767624020887,0.050913838120104436,0.05221932114882506,0.010443864229765013,0.022193211488250653,98111,0.34203655352480417,0.1906005221932115,0.3276762402088773,0.4556135770234987
Q9UM73,ALK tyrosine kinase receptor,ALK,Kinase,Lung cancer lymphoma,6,https://alphafold.ebi.ac.uk/files/AF-Q9UM73-F1-model_v6.pdb,1620,68.19,0.271,0.153,0.372,0.204,0.36666666666666664,0.2111111111111111,0.11975308641975309,0.09938271604938272,0.07530864197530865,0.2802469135802469,0.07777777777777778,0.10123456790123457,0.024074074074074074,0.06851851851851852,0.024074074074074074,0.03641975308641975,0.06296296296296296,0.03209876543209877,0.10123456790123457,0.024691358024691357,0.040740740740740744,0.04197530864197531,0.10123456790123457,0.025308641975308643,0.040123456790123455,0.07777777777777778,0.03888888888888889,0.05308641975308642,0.08641975308641975,0.04567901234567901,0.05555555555555555,0.020370370370370372,0.022839506172839506,205383,0.3388888888888889,0.17530864197530865,0.3419753086419753,0.4623456790123457
P42336,PI3-kinase catalytic subunit alpha,PIK3CA,Kinase,Cancer,6,https://alphafold.ebi.ac.uk/files/AF-P42336-F1-model_v6.pdb,1068,92.38,0.011,0.05,0.117,0.822,0.4110486891385768,0.1891385767790262,0.150749063670412,0.1254681647940075,0.09550561797752809,0.17228464419475656,0.047752808988764044,0.04588014981273408,0.0299625468164794,0.042134831460674156,0.0299625468164794,0.054307116104868915,0.07116104868913857,0.04119850187265917,0.04588014981273408,0.028089887640449437,0.06647940074906367,0.06741573033707865,0.11797752808988764,0.03651685393258427,0.052434456928838954,0.047752808988764044,0.0449438202247191,0.0552434456928839,0.054307116104868915,0.03745318352059925,0.052434456928838954,0.017790262172284643,0.03651685393258427,143346,0.3801498127340824,0.22659176029962547,0.2546816479400749,0.38670411985018727
O15111,Inhibitor of NF-kappa-B kinase subunit alpha,CHUK,Kinase,Inflammation cancer,6,https://alphafold.ebi.ac.uk/files/AF-O15111-F1-model_v6.pdb,745,83.81,0.099,0.074,0.234,0.593,0.38926174496644295,0.20939597315436242,0.1476510067114094,0.12483221476510067,0.0697986577181208,0.21476510067114093,0.042953020134228186,0.05906040268456376,0.026845637583892617,0.04563758389261745,0.026845637583892617,0.04697986577181208,0.07785234899328859,0.024161073825503355,0.05906040268456376,0.036241610738255034,0.06577181208053691,0.06845637583892618,0.1221476510067114,0.03355704697986577,0.036241610738255034,0.042953020134228186,0.052348993288590606,0.042953020134228186,0.08322147651006712,0.03758389261744966,0.052348993288590606,0.016107382550335572,0.02953020134228188,97934,0.4,0.19865771812080538,0.2684563758389262,0.4268456375838926
P36507,Dual specificity MAP kinase kinase 2,MAP2K2,Kinase,Cancer,6,https://alphafold.ebi.ac.uk/files/AF-P36507-F1-model_v6.pdb,400,81.62,0.172,0.055,0.145,0.627,0.3825,0.1675,0.1475,0.135,0.0575,0.215,0.0775,0.0775,0.0125,0.0625,0.0125,0.0475,0.0875,0.0325,0.0775,0.025,0.0675,0.06,0.1,0.0275,0.035,0.0775,0.035,0.0625,0.0625,0.035,0.0675,0.005,0.02,51555,0.3725,0.2,0.3,0.4625
Q00534,Cyclin-dependent kinase 6,CDK6,Kinase,Breast cancer lymphoma,6,https://alphafold.ebi.ac.uk/files/AF-Q00534-F1-model_v6.pdb,326,85.38,0.086,0.077,0.212,0.626,0.401840490797546,0.18404907975460122,0.15030674846625766,0.13803680981595093,0.08282208588957055,0.19325153374233128,0.05214723926380368,0.05521472392638037,0.018404907975460124,0.05828220858895705,0.018404907975460124,0.0705521472392638,0.06748466257668712,0.049079754601226995,0.05521472392638037,0.027607361963190184,0.03680981595092025,0.05521472392638037,0.1196319018404908,0.018404907975460124,0.02147239263803681,0.05214723926380368,0.04294478527607362,0.06748466257668712,0.06134969325153374,0.05828220858895705,0.08588957055214724,0.009202453987730062,0.024539877300613498,42746,0.3619631901840491,0.2147239263803681,0.2607361963190184,0.401840490797546
P45983,Mitogen-activated protein kinase 8,MAPK8,Kinase,Inflammation cancer,6,https://alphafold.ebi.ac.uk/files/AF-P45983-F1-model_v6.pdb,427,82.38,0.166,0.042,0.15,0.642,0.4028103044496487,0.1990632318501171,0.14285714285714285,0.12412177985948478,0.07962529274004684,0.21311475409836064,0.05620608899297424,0.05152224824355972,0.0234192037470726,0.06088992974238876,0.0234192037470726,0.0585480093676815,0.06557377049180328,0.02810304449648712,0.05152224824355972,0.02576112412177986,0.06323185011709602,0.06791569086651054,0.09133489461358314,0.03747072599531616,0.04215456674473068,0.05620608899297424,0.03981264637002342,0.04918032786885246,0.07728337236533958,0.03981264637002342,0.0702576112412178,0.00936768149882904,0.04215456674473068,55908,0.3629976580796253,0.22716627634660422,0.2857142857142857,0.40749414519906324
P11309,Proto-oncogene serine/threonine-protein kinase Pim-1,PIM1,Kinase,Hematologic cancers,6,https://alphafold.ebi.ac.uk/files/AF-P11309-F1-model_v6.pdb,313,89.44,0.112,0.01,0.042,0.837,0.3993610223642173,0.1597444089456869,0.1501597444089457,0.14057507987220447,0.08945686900958466,0.20766773162939298,0.06070287539936102,0.07028753993610223,0.019169329073482427,0.04472843450479233,0.019169329073482427,0.06389776357827476,0.07667731629392971,0.04472843450479233,0.07028753993610223,0.04153354632587859,0.06070287539936102,0.038338658146964855,0.12140575079872204,0.012779552715654952,0.025559105431309903,0.06070287539936102,0.03514376996805112,0.07028753993610223,0.07348242811501597,0.025559105431309903,0.07028753993610223,0.022364217252396165,0.022364217252396165,41261,0.329073482428115,0.21725239616613418,0.2939297124600639,0.4249201277955272
