UniProt_ID,Protein_Name,Gene_Name,Category,Disease_Association
P00533,Epidermal growth factor receptor,EGFR,Kinase,Non-small cell lung cancer
P24941,Cyclin-dependent kinase 2,CDK2,Kinase,Cancer cell cycle
P15056,Serine/threonine-protein kinase B-raf,BRAF,Kinase,Melanoma
Q9UM73,ALK tyrosine kinase receptor,ALK,Kinase,Lung cancer lymphoma
P42336,PI3-kinase catalytic subunit alpha,PIK3CA,Kinase,Cancer
O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha,CHUK,Kinase,Inflammation cancer
P36507,Dual specificity mitogen-activated protein kinase kinase 2,MAP2K2,Kinase,Cancer
Q00534,Cyclin-dependent kinase 6,CDK6,Kinase,Breast cancer lymphoma
P45983,Mitogen-activated protein kinase 8,MAPK8,Kinase,Inflammation cancer
P11309,Proto-oncogene serine/threonine-protein kinase Pim-1,PIM1,Kinase,Hematologic cancers
P49761,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,DYRK1A,Kinase,Down syndrome cancer
P06493,Cyclin-dependent kinase 1,CDK1,Kinase,Cancer mitosis
Q13546,Receptor-interacting serine/threonine-protein kinase 1,RIPK1,Kinase,Inflammation neurodegeneration
P68400,Casein kinase II subunit alpha,CSNK2A1,Kinase,Cancer
O14965,Aurora kinase A,AURKA,Kinase,Cancer cell division
P07550,Beta-2 adrenergic receptor,ADRB2,GPCR,Asthma COPD
P14416,D(2) dopamine receptor,DRD2,GPCR,Schizophrenia Parkinson
P35372,Mu-type opioid receptor,OPRM1,GPCR,Pain addiction
P28222,5-hydroxytryptamine receptor 1B,HTR1B,GPCR,Depression migraine
P25021,Histamine H1 receptor,HRH1,GPCR,Allergy inflammation
P08172,Muscarinic acetylcholine receptor M2,CHRM2,GPCR,Heart rate cognition
P21917,D(4) dopamine receptor,DRD4,GPCR,ADHD schizophrenia
P34969,5-hydroxytryptamine receptor 7,HTR7,GPCR,Depression sleep
P30556,Type-1 angiotensin II receptor,AGTR1,GPCR,Hypertension heart failure
P28223,5-hydroxytryptamine receptor 2A,HTR2A,GPCR,Depression psychosis
P30542,Adenosine receptor A1,ADORA1,GPCR,Cardiac arrhythmia pain
P29274,Adenosine receptor A2a,ADORA2A,GPCR,Parkinson inflammation
P03372,Estrogen receptor alpha,ESR1,Nuclear_Receptor,Breast cancer
P10275,Androgen receptor,AR,Nuclear_Receptor,Prostate cancer
P37231,Peroxisome proliferator-activated receptor gamma,PPARG,Nuclear_Receptor,Diabetes obesity
Q07869,Peroxisome proliferator-activated receptor alpha,PPARA,Nuclear_Receptor,Dyslipidemia
P19793,Retinoic acid receptor RXR-alpha,RXRA,Nuclear_Receptor,Cancer differentiation
P04150,Glucocorticoid receptor,NR3C1,Nuclear_Receptor,Inflammation autoimmune
P10827,Thyroid hormone receptor alpha,THRA,Nuclear_Receptor,Hypothyroidism
Q92731,Estrogen receptor beta,ESR2,Nuclear_Receptor,Breast cancer osteoporosis
P13631,Retinoic acid receptor gamma,RARG,Nuclear_Receptor,Skin cancer differentiation
